epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
138,3127.9,0.67419,0.73992,0.00794,0.88164,0.75209,0.80757,0.68196,0.73743,0.90593,0.01014,0.0001916,0.0001916,0.0001916
139,3151.37,0.68933,0.74659,0.0081,0.88906,0.74689,0.80739,0.68123,0.74456,0.88812,0.01027,0.0001784,0.0001784,0.0001784
140,3174.83,0.68252,0.74083,0.00788,0.88309,0.7538,0.8078,0.68052,0.72891,0.89975,0.01002,0.0001652,0.0001652,0.0001652
141,3198.99,0.58065,0.57471,0.00785,0.88423,0.75003,0.80162,0.6764,0.74971,0.9172,0.01029,0.000152,0.000152,0.000152
142,3222.4,0.56285,0.53758,0.00753,0.88545,0.75104,0.80421,0.67574,0.75129,0.92926,0.01029,0.0001388,0.0001388,0.0001388
143,3245.83,0.55301,0.51131,0.00751,0.89218,0.7325,0.80043,0.67419,0.74704,0.94224,0.01028,0.0001256,0.0001256,0.0001256
144,3269.26,0.54422,0.52273,0.00721,0.91968,0.72852,0.80629,0.67553,0.75043,0.9349,0.01031,0.0001124,0.0001124,0.0001124
145,3292.68,0.54715,0.49464,0.0074,0.92493,0.7328,0.8062,0.67569,0.74689,0.92953,0.01024,9.92e-05,9.92e-05,9.92e-05
146,3316.1,0.54824,0.50299,0.00725,0.91577,0.73682,0.80665,0.67624,0.74833,0.9258,0.01021,8.6e-05,8.6e-05,8.6e-05
147,3339.47,0.53757,0.50049,0.0072,0.90634,0.73614,0.80496,0.67812,0.74585,0.92915,0.01016,7.28e-05,7.28e-05,7.28e-05
148,3362.83,0.5347,0.48621,0.00702,0.91586,0.73767,0.80448,0.67737,0.74966,0.94648,0.0102,5.96e-05,5.96e-05,5.96e-05
149,3386.26,0.54375,0.4885,0.00709,0.90091,0.74197,0.80349,0.677,0.74873,0.94291,0.01017,4.64e-05,4.64e-05,4.64e-05
150,3409.25,0.54154,0.49039,0.00712,0.90825,0.73582,0.80499,0.67847,0.74663,0.93889,0.01025,3.32e-05,3.32e-05,3.32e-05
